Subnum,Peer-rated Bullying,Sex (male = 1),Zscores Sex,Peer-rated Defensive Egotism,Zscores Peer-rated Defensive Egotism,ZSex X ZPeer Defensive Egotism,Peer-rated Assists/SupportsBully,Teacher-rated Social Aggression,Teacher-rated Defensive Egotism,Zscores Teacher-rated Defensive Egotism,ZSex X ZTeacher Defesnive Egotism,Peer-rated Victim of Bullying,Peer-rated Self-esteem,Zscores Peer-rated Self-esteem,ZSex X ZPeer-rated Self-esteem,Peer-rated Defends the Victim
101,0.63,1,-0.81573,1,0.4316,-0.35,0.63,0.33,1,1.00909,-0.82,0.19,1.64,0.55025,-0.45,0.75
102,0.38,1,-0.81573,0.82,-0.05307,0.04,0.25,0,0.4,-0.21021,0.17,0.06,1.77,0.99761,-0.81,1.06
103,0.06,2,1.21257,0.5,-0.90125,-1.09,0.19,0,0,-1.02308,-1.24,0.13,1.09,-1.2392,-1.5,0.94
104,0.75,2,1.21257,0.55,-0.78008,-0.95,0.69,1,0.25,-0.51504,-0.62,0.38,1.09,-1.2392,-1.5,0.56
105,0.13,1,-0.81573,0.5,-0.90125,0.74,0.06,0.25,0.5,-0.00699,0.01,0.06,1.5,0.10289,-0.08,0.81
106,0.5,1,-0.81573,0.64,-0.53774,0.44,0.38,0,0.33,-0.34569,0.28,0.69,1.36,-0.34447,0.28,0.56
107,0.13,2,1.21257,0.64,-0.53774,-0.65,0.19,0,0,-1.02308,-1.24,0.31,1.73,0.84849,1.03,1.19
108,0,2,1.21257,0.59,-0.65891,-0.8,0.06,0,0,-1.02308,-1.24,0.13,1.41,-0.19535,-0.24,0.88
109,0.56,1,-0.81573,0.73,-0.29541,0.24,0.38,0.25,0.5,-0.00699,0.01,0.19,1.64,0.55025,-0.45,0.31
110,0.5,2,1.21257,0.59,-0.65891,-0.8,0.56,0.75,0.5,-0.00699,-0.01,0.56,1.18,-0.94096,-1.14,0.38
111,0.13,2,1.21257,0.32,-1.38592,-1.68,0.25,0,0,-1.02308,-1.24,0.13,1.23,-0.79184,-0.96,0.5
112,0.94,2,1.21257,1.05,0.55277,0.67,0.75,1,1.5,2.02518,2.46,0.63,1.45,-0.04623,-0.06,0.88
113,0.44,2,1.21257,1.18,0.91627,1.11,0.38,0.33,0.33,-0.34569,-0.42,0.38,1.55,0.25201,0.31,0.63
114,0,1,-0.81573,0.55,-0.78008,0.64,0.13,0,0,-1.02308,0.83,0.06,1.52,0.181,-0.15,0.75
